Дата публикации,Время публикации,Номер лунного дня,Начало лунного дня дата,Начало лунного дня время,Текст публикации
2026.05.25,07:10,10,25.05.2026,14:14,"
День внутренней устойчивости. Он даёт возможность почувствовать опору — в себе, в семье, в деле. Эмоционально это один из самых гармоничных дней лунного цикла, если вы не конфликтовали ранее. Если были серьёзные разногласия — они могут проявиться в форме тоски или тяжести. Но в целом день поддерживает всё, что строится с заботой и уважением к другим. Особенно важны родственные связи, традиции, чувство долга.

В бизнесе можно спокойно возвращаться к активной работе. Хорошо идут мероприятия, связанные с укреплением команды, формированием общего понимания целей, запуском новых направлений, если они долго готовились. Не стоит обещать больше, чем можете выполнить — день ценит честность и практичность. Совет: работайте на долгосрочный результат и опирайтесь на проверенные решения. Это даст устойчивость в будущем.
"
2026.05.26,07:10,11,26.05.2026,15:34,"Экадаши.
Очень мощный день. Энергии много, и если она не находит конструктивного выхода — она разносит. Сегодняшнее состояние может колебаться от вдохновения до истощения — всё зависит от того, как вы обращаетесь с внутренней силой. Лучше всего работает физика: движение, спорт, активные действия. Сидячий образ жизни и прокрастинация сегодня особенно плохо сказываются на самочувствии. Это день, когда надо быть включённым, но без фанатизма.

На работе день подходит для волевых задач. Не бойтесь браться за сложное, особенно то, что давно откладывали. Хорошо пойдут переговоры, продвижение идей, запуск активных процессов, если в них уже заложена база. Однако важно отслеживать свою манеру — сегодня легко перегнуть. Давление, резкость, жёсткий контроль над людьми могут вызвать саботаж. Совет: направьте энергию на преодоление, а не на подавление. Работайте на результат, но не забывайте про команду. Лучше сделать одно дело, но до конца. Контролируйте тон в общении — малейшее давление сегодня вызовет сопротивление.
"
2026.05.27,07:10,12,27.05.2026,16:53,"
Лучше сделать одно дело, но до конца. Контролируйте тон в общении — малейшее давление сегодня вызовет сопротивление. Хорошее время для благотворительности, добрых дел, просьб о прощении. Всё, что делается сегодня с искренним сердцем, приносит внутреннее облегчение. Однако чрезмерная сентиментальность и жалость к себе могут увести в сторону.
 
В делах сегодня стоит снизить темп и действовать вдумчиво. Хороший день для дипломатии, сглаживания острых углов, поддержания отношений с партнёрами и клиентами. Особенно благоприятны переговоры, в которых важно проявить гибкость. Полезно восстанавливать связи, завершать споры, проявлять щедрость. Также это удачное время для проведения встреч, связанных с социальными проектами, обучением, меценатством. Совет: покажите человечность — и вам ответят тем же. Отложите жёсткие решения на другой день.
"
2026.05.28,07:10,13,28.05.2026,18:13,"
Этот день требует порядка. Возникает естественное желание навести чистоту: дома, в голове, в делах. Энергия направлена на улучшение, и если её не использовать, она перейдёт в недовольство. Хорошее время для расставания со старым — вещами, установками, обязанностями, которые уже не работают. Эмоционально люди становятся более критичными, но если направить это в пользу — можно многое улучшить. Важно не поддаваться раздражению и не цепляться за прошлое
 
В работе отлично идут дела, связанные с систематизацией, отчётами, оптимизацией. Полезно навести порядок в процессах, документах, ресурсах. Хороший день для аудита, диагностики, пересмотра бюджета. Все мелкие корректировки дадут накопительный эффект. День хорош для наведения порядка, технического обслуживания, мелкого ремонта, закрытия хвостов. Начинать что-то новое не стоит — лучше расчистить поле. Совет: не бойтесь быть требовательным, но направьте критику в конструктив.
"
2026.05.29,07:10,14,29.05.2026,19:34,"
Энергия быстро нарастает, растёт решимость и готовность к действиям. Мозг работает быстро, реакции обострены. Удержание концентрации — ключ к успеху. День активный, сильный, но нестабильный — эмоции могут мешать. Усиливается внутренний импульс «пробить стену», и если направить его точно — можно добиться прорыва. Подходит для финишной подготовки, последнего шага перед запуском.

В деловой сфере время для смелых, но продуманных решений. Полезно собрать волю, расставить приоритеты и сосредоточиться на одной главной задаче. Хорошее время для запуска проектов, важных звонков, активных продаж, но с учётом того, что всё надо продумать заранее. Импровизация на эмоциях даст плохой результат. Совет: выберите одну большую задачу и вложитесь в неё без отвлечений.
"
2026.05.30,07:10,15,30.05.2026,20:53,"
Полнолуние. Пик цикла. Энергия максимальна и может захлёстывать. Всё, что в человеке накопилось — выходит наружу. Возможны резкие колебания настроения, конфликты, эмоциональные всплески. День требует сдержанности, особенно в общении. Важно не идти на поводу у чувств, не спорить, не действовать из раздражения.

В работе день лучше посвятить завершению задач. Не стоит принимать важных решений, заключать сделки, вступать в новые партнёрства. Нежелательны форс-мажоры, экстренные задачи, работа в режиме «надо срочно». Лучше посвятить день завершению текущих дел, подведению итогов, фиксации результатов. Если всё спокойно — день даст хорошее чувство завершённости. При перегрузке — быстрое выгорание. Лучше избегать публичных выступлений и перегрузок.
"
2026.05.31,07:10,16,31.05.2026,22:04,"
Энергия уходит на спад. Настроение ровное, если вы не цепляетесь за то, что не получилось накануне. Это день покоя, прощения, восстановления. Лучше не вмешиваться в чужие дела, не давать советов, не спорить. Человек сегодня склонен к внутреннему равновесию, если его не нарушать. Полезны прогулки, отдых, личные практики. Всё, что делается в тишине, пойдёт впрок.

В делах важно отпустить контроль. Это день, когда лучше доверять, чем проверять. Хорошо заниматься рутинной работой, завершать мелкие задачи, налаживать процессы. Не стоит инициировать серьёзные обсуждения, особенно на эмоциональные темы. Проводите встречи, где важна честность и доверие. Всё грубое и давящее сегодня воспринимается особенно тяжело — лучше проявить мягкость. Всё, что начато сегодня на гармонии, будет долго жить.
"
2026.06.01,07:10,17,01.06.2026,23:02,"
Настроение приподнятое, усиливается тяга к удовольствиям, общению, эстетике. Это день, когда легко раскрываются творческие импульсы и появляется желание праздника. При этом легко потерять меру и увлечься тем, что потом окажется лишним. Если есть внутренний баланс — день принесёт вдохновение. Если нет — унесёт в сторону, выйдет через ссоры, раздражение и необдуманные поступки.

В делах день подходит для публичных событий, презентаций, творческих встреч. Полезно устраивать неформальные встречи, обсуждать идеи, презентовать проекты. Однако важно не увлекаться и не смешивать деловое с личным. Совет: будьте открыты, но не размывайте границы. Энергия дня даёт яркость — направьте её на то, что стоит показать миру.
"
2026.06.02,07:10,18,02.06.2026,23:43,"
День может вызывать сомнения, внутреннюю неуверенность, особенно если человек привык держать всё под контролем. Легко начать сравнивать себя с другими, погружаться в самокритику. Это день, когда надо быть особенно внимательным к внутреннему диалогу. Лучше отложить важные решения и не опираться на временные эмоции. Всё, что кажется «крахом» сегодня — чаще всего иллюзия.

В делах это день наблюдения, проверки, обратной связи. Полезно провести аудит, собрать мнения, разобраться, что не работает. Но важно не принимать окончательных решений. Если что-то не работает — зафиксируйте, но пока не меняйте. Это день, когда можно выявить слабые места, но не стоит их сразу устранять. Не лучший момент для смены команды, инвестиций, масштабирования. Совет: наблюдайте, анализируйте, не спешите менять. Дайте себе и процессам возможность раскрыться на следующий день, он будет не простым).
"
2026.06.03,07:10,19,04.06.2026,00:09,"
Самый сложный по эмоциональному фону день. Лёгкая тревожность может перерасти в раздражение, подозрительность или страх. Сегодня люди склонны обвинять других или резко менять мнение. Это время, когда лучше избегать новых знакомств, откровенных разговоров, громких заявлений. День требует внутренней дисциплины и простых действий без суеты.

В делах желательно минимизировать активность. Никаких важных подписаний, запусков, обсуждений. День не годится для переговоров — информация воспринимается искажённо. Лучше заняться текущими задачами, не требующими полной вовлеченности. Не вмешивайтесь в чужие конфликты, не принимайте ничью сторону. Сохраняйте нейтралитет.
"
2026.06.04,07:10,20,05.06.2026,00:26,"
Хорошее время для внутреннего преодоления. День помогает освободиться от сомнений, долгов и лишнего. Лучше провести его в одиночестве, спокойно, без лишних разговоров и отвлекающих факторов. Важно следить за гордыней — сегодня она может помешать увидеть главное Хорошее время для очищения, избавления от лишнего, фокусировки на том, что важно в перспективе. Всё лишнее чувствуется особенно явно — от информации до контактов. Можно пробовать практики осознанных снов — этот день особенно восприимчив к запросу через подсознание.
 
В деловой сфере день очень продуктивен для совместной работы. Одиночные действия, наоборот, быстро истощают и могут привести к потере ресурса. На работе хорошо заниматься стратегией, финальным редактированием, сокращением ненужных задач. Всё, что требует точности и собранности — пойдёт на пользу. Хорошее время для обзора всей картины бизнеса «с высоты». Не рекомендуется разрывать контракты и прекращать партнёрства — это может повлечь нежелательные последствия.  Можно принять решение, которое долго откладывали. День требует дисциплины, но даёт чёткое понимание следующего шага.
"
2026.06.05,07:10,21,06.06.2026,00:38,"
День активности, силы и решимости. В теле и уме появляется внутренняя собранность, уверенность. Полезно проявлять волю, делать то, что давно откладывалось. Хорошее время для преодоления внутренних и внешних преград. Главное — не распыляться и не пытаться делать всё сразу./n/n В делах день подходит для продвижения, переговоров, укрепления позиций. Можно смело продвигать инициативы, договариваться с нужными людьми, ставить задачи команде. Подходит для командной работы, особенно если нужны быстрые результаты. Хорошо принимаются твёрдые и ясные решения.
"
2026.06.06,07:10,22,07.06.2026,00:47,"
Спокойный, осмысленный день. Возрастает стремление к знанию, глубине, структурности. Могут прийти важные осознания, если остановиться и прислушаться. День не любит суеты и поверхностности — всё, что делается вдумчиво, работает на перспективу.

В бизнесе время для анализа, обучения, оформления знаний. Можно систематизировать накопленное, уточнить стратегию, поработать с документами. День хорошо подходит для наставничества, подготовки к важным встречам, передачи опыта. Лучше не форсировать, а сосредоточиться на качестве.
"
2026.06.07,07:10,23,08.06.2026,00:53,"
День провокаций, внутренней нестабильности. Обостряются личные реакции, может появиться агрессия, недовольство, склонность к критике. Это время, когда важно контролировать эмоции, не допускать резких высказываний и не вступать в конфликты.

В делах не стоит начинать новое или форсировать процессы. Лучше завершить текущие задачи, особенно те, что требуют собранности и самоконтроля. Избегайте давления на людей и не принимайте решения в состоянии раздражения. Контролируйте стиль общения — агрессия сегодня разрушает.
"
2026.06.08,07:10,24,09.06.2026,01:00,"
День восстановленной силы. Чтобы вы ни делали сегодня - все будет удачным. Именно в этот день древние египтяне закладывали пирамиды. Любое мероприятие - ремонт в офисе. заключение контракта, прием на работу нового сотрудника - все пройдет как нельзя лучше, но для этого нужно сохранять бодрость духа, и не давить на ситуацию. Внутреннее напряжение спадает, появляется ощущение устойчивости. Хорошо уделить внимание здоровью, телу, быту, укреплению основ. 

В делах — хорошее время для обустройства, укрепления команды, технических и материальных вопросов. Можно решать вопросы недвижимости, оборудования, переездов, рабочих пространств. Всё, что связано с практичностью и заботой о будущем, сегодня особенно продуктивно.
"
2026.06.09,07:10,25,10.06.2026,01:06,"
Интуитивный, тихий день пассивного отдыха и созерцания. Жизнь кажется немного скучной, люди становятся апатичными. Вам лучше провести день в одиночестве и избегать начала новых проектов. Не занимайтесь физическими упражнениями, не берите на себя ответственность. Полезно уединение, размышления, снижение внешнего шума. Эмоции становятся мягче, появляется желание слушать, а не говорить. Хорошо анализировать сны, символы, ощущения.

 В бизнесе лучше не активничать. Подходит для сбора информации, внутренней оценки, подготовки. Любая суета будет мешать. Не рекомендуется назначать встречи, проводить обсуждения — вы не получите ясности. День для наработки видения, а не для принятия решений.
"
2026.06.10,07:10,26,11.06.2026,01:14,"Экадаши.
Один из самых напряжённых дней. Внутри накапливается раздражение, критичность, мрачные мысли. Возможны обострения старых конфликтов, желание обвинять. Лучше не вступать в споры и держаться подальше от любого негатива. Даже добрые намерения могут быть восприняты в штыки.

В делах день неблагоприятен. Не стоит вести переговоры, обсуждать спорные темы, давать оценку сотрудникам. Лучше переключиться на изоляционные задачи — работа с файлами, код, расчёты. Общение сведите к минимуму. Перегрузка — прямой путь к ошибкам.
"
2026.06.11,07:10,27,12.06.2026,01:25,"
Очищающий и светлый день, если не перегружать его активностью. Восстанавливается внутренний порядок, появляется лёгкость, тяга к возвышенному. Полезно делать то, что наполняет — читать, слушать музыку, размышлять о будущем. Хорошее время для вдохновения и внутреннего обновления.

На работе день мягкий, но продуктивный. Можно решать вопросы, связанные с коммуникацией, творчеством, планированием. Удачно идут идеи, которые связаны с развитием или долгосрочными проектами. Подходит для встреч с единомышленниками, обсуждения концепций и смыслов.
"
2026.06.12,07:10,28,13.06.2026,01:41,"
День ясности. Всё становится на свои места — особенно для тех, кто не сбивался с пути в предыдущие дни. Мысли проясняются, внимание становится чётким. Хорошее время для подведения итогов и понимания, куда двигаться дальше. Не нужно торопиться — главное сейчас — видение.

В делах хорошо делать обзор, анализировать успехи и провалы, корректировать стратегию. Можно пересматривать цели, готовить почву для следующего цикла. Все решения должны быть осознанными и выверенными. Хорошо идут завершения, финальные штрихи и исправление старых ошибок.
"
2026.06.13,07:10,29,14.06.2026,02:08,"
Самый слабый и нестабильный день цикла. Энергии почти нет, возможны обострения страхов, упадок сил, раздражение. В этот день самое большое количество аварий и поломок, будьте осторожны во всем, день связан с травмами и несчастными случаями. Не следуйте ничьим совета. Любая активность требует двойных усилий, но результат будет минимальным. Важно не перегружаться, не переедать, не конфликтовать. Лучше отпустить всё лишнее.

На работе не начинайте ничего нового. Желательно завершить только то, что уже запущено, и не требующее усилий. Встречи, совещания, презентации — под запретом. Подписание договоров, заключение контрактов, установление новых деловых связей, заключение сделок и тому подобные действия в 29 лунный день также обречены на неудачу, или они пойдут таким образом, что вы не один раз пожалеете о том, что вообще это затеяли. Лучше отдохнуть, выспаться, сократить дела до минимума. Сегодня важно беречь себя и не делать резких шагов, особенно не вступать в споры и конфликты.
"
,07:10,30,17.02.2026,08:40,"
Эти сутки бывают не каждый месяц. Если он наступил — это знак завершения с миром. День благоприятен для прощения, благодарности, подведения итогов. Он помогает отпустить обиды, закрыть старое, чтобы не тащить это в следующий цикл. Настроение может быть лёгким, почти праздничным. Проведите день со своей семьей, контролируйте эмоции и будьте искренни - вот ваш девиз на сегодня.

В делах можно спокойно завершать проекты, подписывать последние бумаги, поблагодарить команду. Подходит для расчётов, прощания, увольнений в мирном ключе. Всё, что закрывается с уважением, не тянет за собой. День благодарности и отпускания.
"
